conversation_id_str;created_at;favorite_count;full_text;id_str;image_url;in_reply_to_screen_name;lang;location;quote_count;reply_count;retweet_count
1888000446121525667;Fri Feb 07 23:02:38 +0000 2025;2;Aku sih gak sepenuhnya yakin bahwa efisiensi dgn pangkas memangkas anggaran K/L ekstrim ini cuman utk biayai program MBG ya. Sebab ada utang jatuh tempo sebesar Rp1.350 T yg harus dibayar pda tahun ini. Ini warisan utang Jokowi ke Prabowo. https://t.co/8gUhM6n6x9;1888000446121525667;https://pbs.twimg.com/media/GjOGZinaQAMDTs9.jpg;;in;Sei Manggaris, Nunukan;0;0;0
1887849216204251296;Fri Feb 07 23:00:23 +0000 2025;0;@gumpnhell Ternyata efisiensi anggaran cuma buat umbi-umbian;1887999878514754025;;gumpnhell;in;;0;0;0
1887999107966583199;Fri Feb 07 22:57:19 +0000 2025;0;Sikap Periset Soal Efisiensi Anggaran: Kembalikan Marwah BRIN https://t.co/y0cpRVUaw0;1887999107966583199;;;in;;0;0;0
1887868471306006739;Fri Feb 07 22:57:02 +0000 2025;1;@prabu_yudianto Efisiensi anggaran hanya membuat dana is berkurang sedikit masih ada setidaknya 1t untuk di hamburkan ke pos2 budaya infrastruktur monarki. Pemanfaatan dari tahun ke tahun tidak bisa d telusuri laporan auditnya. Jingan;1887999039234523409;;prabu_yudianto;in;;0;0;0
1887998192538763496;Fri Feb 07 22:53:41 +0000 2025;0;Pak @prabowo katanya perlu efisiensi anggaran bukankah kerjaan yg menyangkut lingkup pertahanan dpt dilakukan dlm kementerian pertahanan...?;1887998192538763496;;;in;;0;0;0
1887530473682800762;Fri Feb 07 22:51:28 +0000 2025;1;@blackjasmineee @worksfess Btw anggaran efisiensi itu ga sama dengan anggaran CPNS ya. Selama belum ada info dari menpanRB/ pres kurang kurangilah fear mongering kayak gini.;1887997634746663112;;blackjasmineee;in;Balikpapan;0;1;0
1887986136603312516;Fri Feb 07 22:41:32 +0000 2025;1;"@susipudjiastuti Efisiensi &amp; program yang memprioritaskan kebutuhan rakyat (bukan pejabat) sesuai prioritas kemendesakannya serta tepat sasaran. Selama ini (paling tidak 10 th terakhir) terkesan penghamburan anggaran markup gila²an dibiarkan agar pejabat senang dan beri dukungan.";1887995134828224852;;susipudjiastuti;in;;0;0;0
1887402011714375752;Fri Feb 07 22:39:34 +0000 2025;0;@nabiylarisfa dari semua efisiensi anggaran k/l aku paling bingung sama yang ini kenapa dipotong juga?‍ aneh bener riset disuruh pake dana pribadi hadehh;1887994641582370919;;nabiylarisfa;in;;0;0;0
1887977424195043602;Fri Feb 07 22:31:33 +0000 2025;0;"@Arezeehere tahun ini katanya masih simpang siur pengadaan cpns soale efisiensi anggaran; ";1887992625678139416;;Arezeehere;in;Surabaya-Jakarta;0;1;0
1887992520505966801;Fri Feb 07 22:31:08 +0000 2025;1;Banyak dulu yang menolak menyarankan supaya IKN ditunda dulu janji ekonomi meroket kenyataanya pemerintah sekarang banyak memotong anggaran untuk efisiensi atau bayar hutang YNTKTS;1887992520505966801;;;in;;0;0;1
1887651418846466365;Fri Feb 07 22:27:20 +0000 2025;0;@mas_veel Halah pret mas... Negara sedang ga baik2 saja. Anggaran kesehatan di sunat vaksin+obat bakalan kena efisiensi kamu malah ngebuzzer. RIP empati. Makan tuhhhh IKN;1887991561126035644;;mas_veel;in;;0;0;0
1887883476881297428;Fri Feb 07 22:22:42 +0000 2025;0;@uyoktweet @ohoxnya2 Efisiensi anggaran dilakukan masif oleh PS tapi tidak untuk institusi penegak hukum ini. https://t.co/QcYlcWB4cY;1887990395134689780;;uyoktweet;in;;0;0;0
1887984462660591789;Fri Feb 07 22:15:33 +0000 2025;0;@DuncanCastles @Transfersdotcom @TransfersCast @ManUtd @LCFC @EmiratesFACup dampak efisiensi anggaran besar-besaran di fa Inggris. VAR ditiadakan king emyu malah diuntungkan. @angkatandua2 gimana tanggapannya bung?;1887988596051001795;;DuncanCastles;in;;0;0;0
1887984745369276544;Fri Feb 07 22:11:17 +0000 2025;0;@theflankerID efisiensi anggaran mas makannya var ditiadakan;1887987522619490653;;theflankerID;in;Surabaya, ID;0;0;0
1887986567245099165;Fri Feb 07 22:10:08 +0000 2025;0;@utdfocusid efisiensi anggaran prabowo;1887987235594932629;;utdfocusid;in;Surabaya, ID;0;0;0
1887986439536955560;Fri Feb 07 22:06:58 +0000 2025;1;sepupu gw literally batal nikah karena efek dari efisiensi anggaran karena pendapatan dia sebagai PNS berkurang lol i don't need anons to tell me the truth;1887986439536955560;;;in;HSOS6;0;0;0
1887986134321611226;Fri Feb 07 22:05:46 +0000 2025;2;Selain efisiensi anggaran perlu dikaji juga evaluasi corebusiness K/L/Pemda ga sih?;1887986134321611226;;;in;Nusantara;0;0;0
1887984745369276544;Fri Feb 07 22:04:10 +0000 2025;31;@theflankerID Lagi efisiensi anggaran jadi ga ada VAR.;1887985733132296377;;theflankerID;in;Dimanasaja;0;0;5
1887984269701824634;Fri Feb 07 22:02:25 +0000 2025;0;@idextratime Efisiensi anggaran sengaja ngga ada VAR;1887985292243779787;;idextratime;in;;0;0;0
1887836352504639892;Fri Feb 07 22:01:57 +0000 2025;2;@Jateng_Twit masuk penangan preservasi ini harusnya tapi anggaran preservasi Rp 0 di PU dampak efisiensi semua orang jangan ngeluh dengan infrastruktur rusak karena warga indon IQ 58 lebih milih makan siang gratis;1887985176107737323;;Jateng_Twit;in;;0;0;0
1887984269701824634;Fri Feb 07 22:01:44 +0000 2025;628;@idextratime Efek efisiensi anggaran Prabowo sampai juga dampaknya ke sepakbola eropa;1887985120713568313;;idextratime;in;;1;14;42
1887857766909526140;Fri Feb 07 21:59:52 +0000 2025;7;@BosPurwa @prabowo @jokowi Sepertinya hutang bukan kemarin sore saja. Di era presiden yg lalu lalu tentu juga hutang. Hutang klu untuk pembangunan rasanya sah sah saja. Tinggal kita lihat ada hasilnya nggak. Genjot ekspor efisiensi cegah kebocoran anggaran genjot pemberdayaan ekonomi masyarakat.;1887984649395441671;;BosPurwa;in;;1;50;0
1887984580604608913;Fri Feb 07 21:59:35 +0000 2025;37;Dampak efisiensi anggaran VAR ditiadakan. *fact: VAR baru akan digunakan di FA Cup Round 5 dan selanjutnya https://t.co/il3rtwuE2J;1887984580604608913;https://pbs.twimg.com/media/GjN3-GnbMAAS4ev.jpg;;in;;0;1;5
